,Shutter B,Gain B,Mean ForeGround Illumination B,Mean Background Illumination B,Contrast B,Mean B,Feature Luminance B,Shutter I,Gain I,Mean Foreground Illumination I,Mean Background Illumination I,Contrast I,Mean I,Feature Luminance I,numFeatures I,numMatches B-I,name I,FileLocation
0,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,1.0,16.0,0,0,0,0,0,0,0,csail03-08-15_1_0000.png,csail03-08-15_0/
1,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,12.0,16.0,10.375463439752833,11.006570233530846,40.0,10.846985677083333,36.166666666666664,6,0,csail03-08-15_1_0001.png,csail03-08-15_0/
2,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,23.0,16.0,12.417430484037075,13.621370686650401,72.0,13.316936848958335,47.333333333333336,12,16,csail03-08-15_1_0002.png,csail03-08-15_0/
3,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,33.0,16.0,14.249871266735324,16.002357093063786,102.0,15.559215494791667,44.444444444444443,18,5,csail03-08-15_1_0003.png,csail03-08-15_0/
4,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,44.0,16.0,16.27426622039135,18.616560648309516,136.0,18.02427734375,52.035714285714285,28,44,csail03-08-15_1_0004.png,csail03-08-15_0/
5,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,55.0,16.0,18.29080844490216,21.2335352039038,170.0,20.489423828125002,51.027027027027025,37,30,csail03-08-15_1_0005.png,csail03-08-15_0/
6,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,66.0,16.0,20.34192842430484,23.86571540606483,202.0,22.97467447916667,51.541666666666664,48,70,csail03-08-15_1_0006.png,csail03-08-15_0/
7,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,77.0,16.0,22.344953656024718,26.47059079818752,225.0,25.427363281250003,58.679245283018865,53,18,csail03-08-15_1_0007.png,csail03-08-15_0/
8,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,88.0,16.0,24.356089083419157,29.08841930986406,234.0,27.891780598958334,52.067567567567565,74,24,csail03-08-15_1_0008.png,csail03-08-15_0/
9,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,98.0,16.0,26.13865859938208,31.42446845590798,235.0,30.087874348958334,52.133333333333333,90,27,csail03-08-15_1_0009.png,csail03-08-15_0/
10,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,109.0,16.0,28.19019052523172,33.98709044963402,237.0,32.521259765625004,52.370689655172413,116,38,csail03-08-15_1_0010.png,csail03-08-15_0/
11,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,120.0,16.0,30.205883110195675,36.558125653537815,239.0,34.95186848958333,58.061068702290079,131,34,csail03-08-15_1_0011.png,csail03-08-15_0/
12,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,131.0,16.0,32.258586508753865,39.11049146043918,240.0,37.37788736979167,57.042553191489361,141,30,csail03-08-15_1_0012.png,csail03-08-15_0/
13,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,142.0,16.0,34.24832646755922,41.63906413384454,241.0,39.770208333333336,57.340000000000003,150,31,csail03-08-15_1_0013.png,csail03-08-15_0/
