Num,Shutter Base,Gain Base,Mean B,Shutter I,Gain I,Mean I,numFeatures I,numMatches B-I,num,baseline
0,531,38,136.716702474,436,16,58.9389257813,2031,37,127,118
1,531,61,95.1926888021,530,61,71.016936849,1979,56,255,253
2,531,51,59.0393977865,530,54,73.3323535156,947,52,319,314
3,531,48,88.9212272135,530,22,50.7064192708,1034,46,383,377
4,531,32,124.1574088542,530,18,75.1082552083,623,65,447,436
5,531,42,139.3837402344,530,17,57.7418359375,856,58,639,631
6,486,16,70.7353548177,399,16,59.607796224,1058,166,703,683
7,531,45,119.1845540365,530,21,67.9331933594,822,45,767,760
8,520,16,84.1190071615,224,16,53.9626757813,582,69,831,814
9,531,54,175.3936946615,143,16,49.6538411458,183,10,895,891
10,531,61,134.104391276,530,26,64.2645963542,727,21,959,957
11,531,29,83.0715983073,530,23,67.8143554688,840,82,1023,1011
12,531,22,66.2080859375,530,19,58.7889355469,1023,43,1087,1073
13,531,35,81.6076009115,530,27,75.8556347656,1374,150,1151,1141
14,531,61,101.025061849,530,31,62.672265625,1439,457,1215,1213
15,531,22,73.7156152344,530,29,61.6578483073,1140,204,1279,1265
