Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Succesfully Tracked Features 0,Succesfully Tracked Features 1
0,2015-04-06 19:22:36.854247936,0.0,0.0,116.28016601562501,452.0,16.0,442.0,16.0,2015-04-06bldg33_0_0000.png,2015-04-06bldg33_1_0000.png,675.0,509.0
1,2015-04-06 19:22:37.315057152,0.0,0.0,121.38189453125001,452.0,16.0,438.0,16.0,2015-04-06bldg33_0_0001.png,2015-04-06bldg33_1_0001.png,529.0,289.0
2,2015-04-06 19:22:37.779133952,0.0,0.0,131.434296875,429.0,16.0,431.0,16.0,2015-04-06bldg33_0_0002.png,2015-04-06bldg33_1_0002.png,304.0,203.0
3,2015-04-06 19:22:38.251571968,0.0,0.0,121.07064127604167,443.0,16.0,442.0,16.0,2015-04-06bldg33_0_0003.png,2015-04-06bldg33_1_0003.png,160.0,58.0
4,2015-04-06 19:22:38.715169024,0.0,0.0,73.20780598958333,530.0,16.0,382.0,16.0,2015-04-06bldg33_0_0004.png,2015-04-06bldg33_1_0004.png,21.0,86.0
5,2015-04-06 19:22:39.185955072,0.0,0.0,61.14805013020834,530.0,21.0,288.0,16.0,2015-04-06bldg33_0_0005.png,2015-04-06bldg33_1_0005.png,13.0,55.0
6,2015-04-06 19:22:39.648742912,0.0,0.0,70.37045572916666,530.0,20.0,344.0,16.0,2015-04-06bldg33_0_0006.png,2015-04-06bldg33_1_0006.png,138.0,212.0
7,2015-04-06 19:22:40.114188800,0.0,0.0,69.14836914062501,530.0,20.0,336.0,16.0,2015-04-06bldg33_0_0007.png,2015-04-06bldg33_1_0007.png,334.0,239.0
8,2015-04-06 19:22:40.574599936,0.0,0.0,72.30837239583333,530.0,20.0,346.0,16.0,2015-04-06bldg33_0_0008.png,2015-04-06bldg33_1_0008.png,171.0,146.0
9,2015-04-06 19:22:41.047760128,0.0,0.0,74.80331380208334,530.0,16.0,353.0,16.0,2015-04-06bldg33_0_0009.png,2015-04-06bldg33_1_0009.png,154.0,166.0
10,2015-04-06 19:22:41.513189120,0.0,0.0,84.95640299479167,297.0,16.0,358.0,16.0,2015-04-06bldg33_0_0010.png,2015-04-06bldg33_1_0010.png,151.0,167.0
11,2015-04-06 19:22:41.976811008,0.0,0.0,90.91291341145833,263.0,16.0,383.0,16.0,2015-04-06bldg33_0_0011.png,2015-04-06bldg33_1_0011.png,124.0,171.0
12,2015-04-06 19:22:42.441616896,0.0,0.0,88.85743164062501,222.0,16.0,375.0,16.0,2015-04-06bldg33_0_0012.png,2015-04-06bldg33_1_0012.png,104.0,194.0
13,2015-04-06 19:22:42.907229952,0.0,0.0,80.39190429687501,260.0,16.0,371.0,16.0,2015-04-06bldg33_0_0013.png,2015-04-06bldg33_1_0013.png,126.0,201.0
14,2015-04-06 19:22:43.374950912,0.0,0.0,70.07664062500001,310.0,16.0,348.0,16.0,2015-04-06bldg33_0_0014.png,2015-04-06bldg33_1_0014.png,134.0,142.0
15,2015-04-06 19:22:43.843065088,0.0,0.0,67.44276692708334,397.0,16.0,341.0,16.0,2015-04-06bldg33_0_0015.png,2015-04-06bldg33_1_0015.png,70.0,135.0
16,2015-04-06 19:22:44.308816896,0.0,0.0,66.38150065104168,389.0,16.0,345.0,16.0,2015-04-06bldg33_0_0016.png,2015-04-06bldg33_1_0016.png,133.0,114.0
