Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Experimental Method,Succesfully Tracked Features 1,Succesfully Tracked Features 0,STF Baseline,STF Experiment,Exposure Baseline,Exposure Experiment,Contrast,Mean Lum,FG Illum,BG Illum,Blur Lum,Exposure Sigma,Exposure Pred
0,2015-04-18 20:45:33.600665088,0.0,0.0,95.50360026041668,403.0,16.0,425.0,16.0,bldg33_2015-04-18_0_0000.png,bldg33_2015-04-18_1_0000.png,GP,1549.0,2182.0,2182.0,1549.0,403.0,425.0,244.0,95.50360026041668,134.62367404737384,82.26358922969676,110.9058999253174,,
1,2015-04-18 20:45:34.467845888,0.0,0.0,100.562373046875,389.0,16.0,401.0,16.0,bldg33_2015-04-18_0_0001.png,bldg33_2015-04-18_1_0001.png,GP,1145.0,1027.0,1027.0,1145.0,389.0,401.0,242.0,100.56237304687501,165.2203913491246,78.67916085744162,126.93055555555556,30.80523967736765,409.87051476429616
2,2015-04-18 20:45:35.310117120,0.0,0.0,96.80260416666668,365.0,16.0,410.0,16.0,bldg33_2015-04-18_0_0002.png,bldg33_2015-04-18_1_0002.png,GP,900.0,822.0,822.0,900.0,365.0,410.0,243.0,96.80260416666667,156.48498970133883,76.60337225514117,124.59811193526635,32.721672614926554,384.13010460018756
3,2015-04-18 20:45:36.007123968,0.0,0.0,121.55529622395834,278.0,16.0,385.0,16.0,bldg33_2015-04-18_0_0003.png,bldg33_2015-04-18_1_0003.png,GP,416.0,387.0,387.0,416.0,278.0,385.0,242.0,121.55529622395834,140.03558187435632,115.30072760543743,132.76413570274636,30.269292037787075,402.71248586404266
4,2015-04-18 20:45:36.693676032,0.0,0.0,116.14018880208334,311.0,16.0,403.0,16.0,bldg33_2015-04-18_0_0004.png,bldg33_2015-04-18_1_0004.png,GP,447.0,514.0,514.0,447.0,311.0,403.0,242.0,116.14018880208334,136.64438722966014,109.20063611014291,131.83241106719368,26.11188186259082,400.734113266974
5,2015-04-18 20:45:37.467410944,0.0,0.0,116.11750325520832,280.0,16.0,400.0,16.0,bldg33_2015-04-18_0_0005.png,bldg33_2015-04-18_1_0005.png,GP,441.0,407.0,407.0,441.0,280.0,400.0,240.0,116.11750325520833,137.42636457260556,108.90561606831648,134.99778106508876,25.68336961478516,410.7242669183082
6,2015-04-18 20:45:38.240425984,0.0,0.0,114.08345377604168,261.0,16.0,410.0,16.0,bldg33_2015-04-18_0_0006.png,bldg33_2015-04-18_1_0006.png,GP,547.0,472.0,472.0,547.0,261.0,410.0,239.0,114.08345377604168,154.7704814624099,100.31311432554897,135.21621621621622,26.555717207654254,405.6213528276726
7,2015-04-18 20:45:39.061858048,0.0,0.0,111.293935546875,234.0,16.0,405.0,16.0,bldg33_2015-04-18_0_0007.png,bldg33_2015-04-18_1_0007.png,GP,377.0,493.0,493.0,377.0,234.0,405.0,242.0,111.293935546875,157.51271884654994,95.65139857093064,132.2702227432591,28.298665380042593,396.56364908818176
8,2015-04-18 20:45:39.951159040,0.0,0.0,119.16591145833334,210.0,16.0,397.0,16.0,bldg33_2015-04-18_0_0008.png,bldg33_2015-04-18_1_0008.png,GP,636.0,490.0,490.0,636.0,210.0,397.0,244.0,119.16591145833334,161.47497425334706,104.84660160334612,133.97736057426837,29.29484746071774,395.42328268209076
9,2015-04-18 20:45:40.904980992,0.0,0.0,127.51670572916667,215.0,16.0,396.0,16.0,bldg33_2015-04-18_0_0009.png,bldg33_2015-04-18_1_0009.png,GP,656.0,525.0,525.0,656.0,215.0,396.0,242.0,127.51670572916667,162.59168383110196,115.64573893342627,135.93703308431162,29.377675303629395,388.75883221684785
