Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Experimental Method,Succesfully Tracked Features 1,Succesfully Tracked Features 0
0,2015-04-18 20:45:33.600665088,0.0,0.0,95.50360026041668,403.0,16.0,425.0,16.0,bldg33_2015-04-18_0_0000.png,bldg33_2015-04-18_1_0000.png,GP,1549.0,2182.0
1,2015-04-18 20:45:34.467845888,0.0,0.0,100.56237304687501,389.0,16.0,401.0,16.0,bldg33_2015-04-18_0_0001.png,bldg33_2015-04-18_1_0001.png,GP,1145.0,1027.0
2,2015-04-18 20:45:35.310117120,0.0,0.0,96.80260416666667,365.0,16.0,410.0,16.0,bldg33_2015-04-18_0_0002.png,bldg33_2015-04-18_1_0002.png,GP,900.0,822.0
3,2015-04-18 20:45:36.007123968,0.0,0.0,121.55529622395834,278.0,16.0,385.0,16.0,bldg33_2015-04-18_0_0003.png,bldg33_2015-04-18_1_0003.png,GP,416.0,387.0
4,2015-04-18 20:45:36.693676032,0.0,0.0,116.14018880208334,311.0,16.0,403.0,16.0,bldg33_2015-04-18_0_0004.png,bldg33_2015-04-18_1_0004.png,GP,447.0,514.0
5,2015-04-18 20:45:37.467410944,0.0,0.0,116.11750325520833,280.0,16.0,400.0,16.0,bldg33_2015-04-18_0_0005.png,bldg33_2015-04-18_1_0005.png,GP,441.0,407.0
6,2015-04-18 20:45:38.240425984,0.0,0.0,114.08345377604168,261.0,16.0,410.0,16.0,bldg33_2015-04-18_0_0006.png,bldg33_2015-04-18_1_0006.png,GP,547.0,472.0
7,2015-04-18 20:45:39.061858048,0.0,0.0,111.293935546875,234.0,16.0,405.0,16.0,bldg33_2015-04-18_0_0007.png,bldg33_2015-04-18_1_0007.png,GP,377.0,493.0
8,2015-04-18 20:45:39.951159040,0.0,0.0,119.16591145833334,210.0,16.0,397.0,16.0,bldg33_2015-04-18_0_0008.png,bldg33_2015-04-18_1_0008.png,GP,636.0,490.0
9,2015-04-18 20:45:40.904980992,0.0,0.0,127.51670572916667,215.0,16.0,396.0,16.0,bldg33_2015-04-18_0_0009.png,bldg33_2015-04-18_1_0009.png,GP,656.0,525.0
10,2015-04-18 20:45:41.818018048,0.0,0.0,125.38504882812501,237.0,16.0,389.0,16.0,bldg33_2015-04-18_0_0010.png,bldg33_2015-04-18_1_0010.png,GP,564.0,604.0
11,2015-04-18 20:45:42.685959936,0.0,0.0,116.27505533854168,200.0,16.0,385.0,16.0,bldg33_2015-04-18_0_0011.png,bldg33_2015-04-18_1_0011.png,GP,304.0,336.0
12,2015-04-18 20:45:43.438270208,0.0,0.0,116.70582356770834,209.0,16.0,374.0,16.0,bldg33_2015-04-18_0_0012.png,bldg33_2015-04-18_1_0012.png,GP,120.0,200.0
13,2015-04-18 20:45:44.172350976,0.0,0.0,97.93481119791667,194.0,16.0,375.0,16.0,bldg33_2015-04-18_0_0013.png,bldg33_2015-04-18_1_0013.png,GP,77.0,121.0
14,2015-04-18 20:45:44.951078912,0.0,0.0,106.58405598958333,196.0,16.0,368.0,16.0,bldg33_2015-04-18_0_0014.png,bldg33_2015-04-18_1_0014.png,GP,451.0,420.0
15,2015-04-18 20:45:45.801068032,0.0,0.0,109.13369466145834,181.0,16.0,405.0,16.0,bldg33_2015-04-18_0_0015.png,bldg33_2015-04-18_1_0015.png,GP,418.0,502.0
16,2015-04-18 20:45:46.643843840,0.0,0.0,114.69993489583334,167.0,16.0,401.0,16.0,bldg33_2015-04-18_0_0016.png,bldg33_2015-04-18_1_0016.png,GP,397.0,426.0
17,2015-04-18 20:45:47.489181952,0.0,0.0,114.05008138020834,158.0,16.0,410.0,16.0,bldg33_2015-04-18_0_0017.png,bldg33_2015-04-18_1_0017.png,GP,350.0,370.0
18,2015-04-18 20:45:48.334497024,0.0,0.0,116.94951822916667,158.0,16.0,404.0,16.0,bldg33_2015-04-18_0_0018.png,bldg33_2015-04-18_1_0018.png,GP,486.0,375.0
19,2015-04-18 20:45:49.179936768,0.0,0.0,116.24186197916667,139.0,16.0,412.0,16.0,bldg33_2015-04-18_0_0019.png,bldg33_2015-04-18_1_0019.png,GP,337.0,405.0
20,2015-04-18 20:45:49.932470016,0.0,0.0,120.43296549479167,128.0,16.0,405.0,16.0,bldg33_2015-04-18_0_0020.png,bldg33_2015-04-18_1_0020.png,GP,294.0,347.0
21,2015-04-18 20:45:50.728986880,0.0,0.0,122.12384765625,86.0,16.0,415.0,16.0,bldg33_2015-04-18_0_0021.png,bldg33_2015-04-18_1_0021.png,GP,264.0,321.0
22,2015-04-18 20:45:51.466747136,0.0,0.0,130.13240234375002,88.0,16.0,405.0,16.0,bldg33_2015-04-18_0_0022.png,bldg33_2015-04-18_1_0022.png,GP,250.0,326.0
23,2015-04-18 20:45:52.258102784,0.0,0.0,127.54947265625,67.0,16.0,410.0,16.0,bldg33_2015-04-18_0_0023.png,bldg33_2015-04-18_1_0023.png,GP,171.0,203.0
24,2015-04-18 20:45:53.052471040,0.0,0.0,121.60874348958335,54.0,16.0,397.0,16.0,bldg33_2015-04-18_0_0024.png,bldg33_2015-04-18_1_0024.png,GP,433.0,268.0
25,2015-04-18 20:45:53.914493184,0.0,0.0,136.57208984375,53.0,16.0,401.0,16.0,bldg33_2015-04-18_0_0025.png,bldg33_2015-04-18_1_0025.png,GP,468.0,175.0
26,2015-04-18 20:45:54.751952896,0.0,0.0,142.485107421875,46.0,16.0,404.0,16.0,bldg33_2015-04-18_0_0026.png,bldg33_2015-04-18_1_0026.png,GP,213.0,182.0
27,2015-04-18 20:45:55.546475776,0.0,0.0,134.3221549479167,44.0,16.0,381.0,16.0,bldg33_2015-04-18_0_0027.png,bldg33_2015-04-18_1_0027.png,GP,217.0,131.0
28,2015-04-18 20:45:56.489656064,0.0,0.0,132.66202799479169,37.0,16.0,368.0,16.0,bldg33_2015-04-18_0_0028.png,bldg33_2015-04-18_1_0028.png,GP,68.0,80.0
29,2015-04-18 20:45:57.343489792,0.0,0.0,124.19719726562501,29.0,16.0,368.0,16.0,bldg33_2015-04-18_0_0029.png,bldg33_2015-04-18_1_0029.png,GP,226.0,132.0
30,2015-04-18 20:45:58.140537088,0.0,0.0,131.23330078125,27.0,16.0,363.0,16.0,bldg33_2015-04-18_0_0030.png,bldg33_2015-04-18_1_0030.png,GP,189.0,65.0
