Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Succesfully Tracked Features 1,Succesfully Tracked Features 0
0,2015-04-12 17:17:04.792329984,0,1,199.9911914063,1,16,1,16,outdoors2015-04-12_0_0000.png,outdoors2015-04-12_1_0000.png,513,587
1,2015-04-12 17:17:05.258518016,0,1,196.1883821615,111,16,1,16,outdoors2015-04-12_0_0001.png,outdoors2015-04-12_1_0001.png,336,492
2,2015-04-12 17:17:05.721491200,0,1,254.7034960938,101,16,1,16,outdoors2015-04-12_0_0002.png,outdoors2015-04-12_1_0002.png,362,28
3,2015-04-12 17:17:06.189740800,0,1,255,345,16,1,16,outdoors2015-04-12_0_0003.png,outdoors2015-04-12_1_0003.png,388,0
4,2015-04-12 17:17:06.661664,0,1,254.9983528646,181,16,1,16,outdoors2015-04-12_0_0004.png,outdoors2015-04-12_1_0004.png,359,0
5,2015-04-12 17:17:07.121942016,0,1,255,350,16,1,16,outdoors2015-04-12_0_0005.png,outdoors2015-04-12_1_0005.png,312,0
6,2015-04-12 17:17:07.593573120,0,1,255,236,16,1,16,outdoors2015-04-12_0_0006.png,outdoors2015-04-12_1_0006.png,315,0
7,2015-04-12 17:17:08.057532160,0,1,255,353,16,1,16,outdoors2015-04-12_0_0007.png,outdoors2015-04-12_1_0007.png,227,0
8,2015-04-12 17:17:08.522556928,0,1,255,274,16,1,16,outdoors2015-04-12_0_0008.png,outdoors2015-04-12_1_0008.png,115,0
9,2015-04-12 17:17:08.990083840,0,1,255,355,16,1,16,outdoors2015-04-12_0_0009.png,outdoors2015-04-12_1_0009.png,197,0
10,2015-04-12 17:17:09.455014912,0,1,255,300,16,1,16,outdoors2015-04-12_0_0010.png,outdoors2015-04-12_1_0010.png,162,0
11,2015-04-12 17:17:09.922585856,0,1,255,357,16,1,16,outdoors2015-04-12_0_0011.png,outdoors2015-04-12_1_0011.png,195,0
12,2015-04-12 17:17:10.387535104,0,1,255,318,16,1,16,outdoors2015-04-12_0_0012.png,outdoors2015-04-12_1_0012.png,141,0
13,2015-04-12 17:17:10.855104,0,1,255,358,16,1,16,outdoors2015-04-12_0_0013.png,outdoors2015-04-12_1_0013.png,192,0
14,2015-04-12 17:17:11.320067840,0,1,255,331,16,1,16,outdoors2015-04-12_0_0014.png,outdoors2015-04-12_1_0014.png,198,0
15,2015-04-12 17:17:11.790257920,0,1,255,359,16,1,16,outdoors2015-04-12_0_0015.png,outdoors2015-04-12_1_0015.png,198,0
16,2015-04-12 17:17:12.260963840,0,1,255,340,16,1,16,outdoors2015-04-12_0_0016.png,outdoors2015-04-12_1_0016.png,117,0
17,2015-04-12 17:17:12.720505856,0,1,255,359,16,1,16,outdoors2015-04-12_0_0017.png,outdoors2015-04-12_1_0017.png,159,0
18,2015-04-12 17:17:13.185154816,0,1,255,346,16,1,16,outdoors2015-04-12_0_0018.png,outdoors2015-04-12_1_0018.png,176,0
19,2015-04-12 17:17:13.652698880,0,1,255,359,16,1,16,outdoors2015-04-12_0_0019.png,outdoors2015-04-12_1_0019.png,205,0
20,2015-04-12 17:17:14.117646848,0,1,255,350,16,1,16,outdoors2015-04-12_0_0020.png,outdoors2015-04-12_1_0020.png,117,0
21,2015-04-12 17:17:14.585232896,0,1,255,359,16,1,16,outdoors2015-04-12_0_0021.png,outdoors2015-04-12_1_0021.png,79,0
22,2015-04-12 17:17:15.050184960,0,1,255,353,16,1,16,outdoors2015-04-12_0_0022.png,outdoors2015-04-12_1_0022.png,98,0
23,2015-04-12 17:17:15.512780800,0,1,255,359,16,1,16,outdoors2015-04-12_0_0023.png,outdoors2015-04-12_1_0023.png,91,0
24,2015-04-12 17:17:15.979533056,0,1,255,355,16,1,16,outdoors2015-04-12_0_0024.png,outdoors2015-04-12_1_0024.png,60,0
25,2015-04-12 17:17:16.450272,0,1,255,359,16,1,16,outdoors2015-04-12_0_0025.png,outdoors2015-04-12_1_0025.png,114,0
26,2015-04-12 17:17:16.917878016,0,1,255,357,16,1,16,outdoors2015-04-12_0_0026.png,outdoors2015-04-12_1_0026.png,69,0
27,2015-04-12 17:17:17.382782976,0,1,255,359,16,1,16,outdoors2015-04-12_0_0027.png,outdoors2015-04-12_1_0027.png,100,0
28,2015-04-12 17:17:17.850376960,0,1,255,358,16,1,16,outdoors2015-04-12_0_0028.png,outdoors2015-04-12_1_0028.png,106,0
29,2015-04-12 17:17:18.321288192,0,1,255,359,16,1,16,outdoors2015-04-12_0_0029.png,outdoors2015-04-12_1_0029.png,61,0
30,2015-04-12 17:17:18.782223872,0,1,255,359,16,1,16,outdoors2015-04-12_0_0030.png,outdoors2015-04-12_1_0030.png,35,0
31,2015-04-12 17:17:19.249031936,0,1,255,359,16,1,16,outdoors2015-04-12_0_0031.png,outdoors2015-04-12_1_0031.png,85,0
32,2015-04-12 17:17:19.709632,0,1,255,359,16,1,16,outdoors2015-04-12_0_0032.png,outdoors2015-04-12_1_0032.png,74,0
33,2015-04-12 17:17:20.179405824,0,1,255,359,16,1,16,outdoors2015-04-12_0_0033.png,outdoors2015-04-12_1_0033.png,156,0
34,2015-04-12 17:17:20.642263808,0,1,255,359,16,1,16,outdoors2015-04-12_0_0034.png,outdoors2015-04-12_1_0034.png,83,0
35,2015-04-12 17:17:21.109797120,0,1,255,359,16,2,16,outdoors2015-04-12_0_0035.png,outdoors2015-04-12_1_0035.png,52,0
36,2015-04-12 17:17:21.573945088,0,1,255,359,16,5,16,outdoors2015-04-12_0_0036.png,outdoors2015-04-12_1_0036.png,28,0
37,2015-04-12 17:17:22.047794176,0,1,255,359,16,5,16,outdoors2015-04-12_0_0037.png,outdoors2015-04-12_1_0037.png,298,0
38,2015-04-12 17:17:22.507110144,0,1,255,359,16,5,16,outdoors2015-04-12_0_0038.png,outdoors2015-04-12_1_0038.png,267,0
39,2015-04-12 17:17:22.975752192,0,1,255,359,16,4,16,outdoors2015-04-12_0_0039.png,outdoors2015-04-12_1_0039.png,202,0
40,2015-04-12 17:17:23.444948992,0,1,255,359,16,4,16,outdoors2015-04-12_0_0040.png,outdoors2015-04-12_1_0040.png,342,0
41,2015-04-12 17:17:41.907095808,1,0,109.6002246094,5,16,4,16,outdoors2015-04-12_0_0041.png,outdoors2015-04-12_1_0041.png,580,155
42,2015-04-12 17:17:42.360153856,1,0,241.135859375,5,16,95,16,outdoors2015-04-12_0_0042.png,outdoors2015-04-12_1_0042.png,17,471
43,2015-04-12 17:17:42.823156224,1,0,254.9999934896,6,16,468,16,outdoors2015-04-12_0_0043.png,outdoors2015-04-12_1_0043.png,0,225
44,2015-04-12 17:17:43.289032960,1,0,253.4156966146,32,16,214,16,outdoors2015-04-12_0_0044.png,outdoors2015-04-12_1_0044.png,0,40
45,2015-04-12 17:17:43.755785984,1,0,254.9728971354,34,16,431,16,outdoors2015-04-12_0_0045.png,outdoors2015-04-12_1_0045.png,0,614
46,2015-04-12 17:17:44.221795072,1,0,247.6690136719,40,16,263,16,outdoors2015-04-12_0_0046.png,outdoors2015-04-12_1_0046.png,0,791
47,2015-04-12 17:17:44.693684992,1,0,250.0410286458,56,16,390,16,outdoors2015-04-12_0_0047.png,outdoors2015-04-12_1_0047.png,13,550
48,2015-04-12 17:17:45.158027008,1,0,252.6323046875,41,16,299,16,outdoors2015-04-12_0_0048.png,outdoors2015-04-12_1_0048.png,4,606
49,2015-04-12 17:17:45.624979968,1,0,253.347265625,45,16,388,16,outdoors2015-04-12_0_0049.png,outdoors2015-04-12_1_0049.png,7,396
50,2015-04-12 17:17:46.091912960,1,0,252.8171419271,49,16,320,16,outdoors2015-04-12_0_0050.png,outdoors2015-04-12_1_0050.png,24,337
51,2015-04-12 17:17:46.558887936,1,0,254.7839355469,52,16,378,16,outdoors2015-04-12_0_0051.png,outdoors2015-04-12_1_0051.png,33,349
52,2015-04-12 17:17:47.023171840,1,0,250.5604036458,68,16,338,16,outdoors2015-04-12_0_0052.png,outdoors2015-04-12_1_0052.png,0,96
53,2015-04-12 17:17:47.490124032,1,0,240.2037434896,100,16,361,16,outdoors2015-04-12_0_0053.png,outdoors2015-04-12_1_0053.png,19,122
54,2015-04-12 17:17:47.957096192,1,0,214.5945247396,108,16,317,16,outdoors2015-04-12_0_0054.png,outdoors2015-04-12_1_0054.png,59,392
55,2015-04-12 17:17:48.418763008,1,0,176.3192643229,133,16,292,16,outdoors2015-04-12_0_0055.png,outdoors2015-04-12_1_0055.png,176,410
56,2015-04-12 17:17:48.888349952,1,0,156.0447526042,150,16,227,16,outdoors2015-04-12_0_0056.png,outdoors2015-04-12_1_0056.png,188,451
57,2015-04-12 17:17:49.355330048,1,0,170.3888216146,152,16,258,16,outdoors2015-04-12_0_0057.png,outdoors2015-04-12_1_0057.png,103,190
58,2015-04-12 17:17:49.822284032,1,0,174.918671875,165,16,307,16,outdoors2015-04-12_0_0058.png,outdoors2015-04-12_1_0058.png,221,260
59,2015-04-12 17:17:50.283556096,1,0,166.2776334635,172,16,302,16,outdoors2015-04-12_0_0059.png,outdoors2015-04-12_1_0059.png,283,256
60,2015-04-12 17:17:50.749800960,1,0,160.4004557292,172,16,300,16,outdoors2015-04-12_0_0060.png,outdoors2015-04-12_1_0060.png,136,289
61,2015-04-12 17:17:51.215553024,1,0,152.1463509115,152,16,304,16,outdoors2015-04-12_0_0061.png,outdoors2015-04-12_1_0061.png,108,230
