Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Succesfully Tracked Features 1,Succesfully Tracked Features 0
0,2015-04-12 17:51:47.887581952,0.0,1.0,121.92897135416668,193.0,16.0,197.0,16.0,stata2015-04-12_0_0000.png,stata2015-04-12_1_0000.png,504.0,631.0
1,2015-04-12 17:51:48.356030976,0.0,1.0,146.10671549479167,250.0,16.0,142.0,16.0,stata2015-04-12_0_0001.png,stata2015-04-12_1_0001.png,242.0,322.0
2,2015-04-12 17:51:48.817296896,0.0,1.0,168.09551106770834,310.0,16.0,79.0,16.0,stata2015-04-12_0_0002.png,stata2015-04-12_1_0002.png,89.0,230.0
3,2015-04-12 17:51:49.286098944,0.0,1.0,175.6531217447917,343.0,16.0,60.0,16.0,stata2015-04-12_0_0003.png,stata2015-04-12_1_0003.png,126.0,251.0
4,2015-04-12 17:51:49.754349056,0.0,1.0,176.79728190104169,346.0,16.0,51.0,16.0,stata2015-04-12_0_0004.png,stata2015-04-12_1_0004.png,140.0,282.0
5,2015-04-12 17:51:50.221052928,0.0,1.0,176.95581380208336,352.0,16.0,53.0,16.0,stata2015-04-12_0_0005.png,stata2015-04-12_1_0005.png,138.0,95.0
6,2015-04-12 17:51:50.684056064,0.0,1.0,172.11227213541667,351.0,16.0,55.0,16.0,stata2015-04-12_0_0006.png,stata2015-04-12_1_0006.png,144.0,81.0
7,2015-04-12 17:51:51.146946816,0.0,1.0,168.17858398437502,342.0,16.0,54.0,16.0,stata2015-04-12_0_0007.png,stata2015-04-12_1_0007.png,94.0,316.0
8,2015-04-12 17:51:51.619371008,0.0,1.0,173.55845703125001,344.0,16.0,41.0,16.0,stata2015-04-12_0_0008.png,stata2015-04-12_1_0008.png,78.0,99.0
9,2015-04-12 17:51:52.085200128,0.0,1.0,182.32483072916668,362.0,16.0,39.0,16.0,stata2015-04-12_0_0009.png,stata2015-04-12_1_0009.png,171.0,63.0
10,2015-04-12 17:51:52.551814912,0.0,1.0,187.22673828125002,373.0,16.0,38.0,16.0,stata2015-04-12_0_0010.png,stata2015-04-12_1_0010.png,158.0,291.0
11,2015-04-12 17:51:53.019802112,0.0,1.0,181.882724609375,375.0,16.0,42.0,16.0,stata2015-04-12_0_0011.png,stata2015-04-12_1_0011.png,75.0,95.0
12,2015-04-12 17:51:53.485382144,0.0,1.0,149.40986002604168,355.0,16.0,85.0,16.0,stata2015-04-12_0_0012.png,stata2015-04-12_1_0012.png,16.0,120.0
13,2015-04-12 17:51:53.951169024,0.0,1.0,115.241962890625,283.0,16.0,273.0,16.0,stata2015-04-12_0_0013.png,stata2015-04-12_1_0013.png,53.0,96.0
14,2015-04-12 17:51:54.417607936,0.0,1.0,97.60302408854167,265.0,16.0,352.0,16.0,stata2015-04-12_0_0014.png,stata2015-04-12_1_0014.png,169.0,164.0
15,2015-04-12 17:51:54.882863104,0.0,1.0,94.07198567708333,260.0,16.0,364.0,16.0,stata2015-04-12_0_0015.png,stata2015-04-12_1_0015.png,191.0,224.0
16,2015-04-12 17:51:55.351309056,0.0,1.0,112.5190625,285.0,16.0,272.0,16.0,stata2015-04-12_0_0016.png,stata2015-04-12_1_0016.png,140.0,245.0
17,2015-04-12 17:51:55.815875072,0.0,1.0,145.21329427083333,341.0,16.0,152.0,16.0,stata2015-04-12_0_0017.png,stata2015-04-12_1_0017.png,58.0,71.0
18,2015-04-12 17:51:56.282972160,0.0,1.0,177.87563476562502,397.0,16.0,84.0,16.0,stata2015-04-12_0_0018.png,stata2015-04-12_1_0018.png,33.0,78.0
19,2015-04-12 17:51:56.748795904,0.0,1.0,199.65928059895833,435.0,16.0,34.0,16.0,stata2015-04-12_0_0019.png,stata2015-04-12_1_0019.png,95.0,58.0
20,2015-04-12 17:51:57.209652992,0.0,1.0,207.401337890625,445.0,16.0,30.0,16.0,stata2015-04-12_0_0020.png,stata2015-04-12_1_0020.png,131.0,26.0
21,2015-04-12 17:51:57.678142976,0.0,1.0,217.74551432291668,433.0,16.0,27.0,16.0,stata2015-04-12_0_0021.png,stata2015-04-12_1_0021.png,270.0,22.0
22,2015-04-12 17:51:58.147053056,0.0,1.0,237.1107389322917,447.0,16.0,15.0,16.0,stata2015-04-12_0_0022.png,stata2015-04-12_1_0022.png,228.0,12.0
23,2015-04-12 17:51:58.612430080,0.0,1.0,249.77521158854168,463.0,16.0,10.0,16.0,stata2015-04-12_0_0023.png,stata2015-04-12_1_0023.png,81.0,8.0
24,2015-04-12 17:51:59.075526912,0.0,1.0,246.44902669270834,455.0,16.0,9.0,16.0,stata2015-04-12_0_0024.png,stata2015-04-12_1_0024.png,133.0,10.0
25,2015-04-12 17:51:59.541433088,0.0,1.0,240.89482421875002,423.0,16.0,8.0,16.0,stata2015-04-12_0_0025.png,stata2015-04-12_1_0025.png,137.0,9.0
26,2015-04-12 17:52:18.656943104,1.0,0.0,106.56812174479167,35.0,16.0,32.0,16.0,stata2015-04-12_0_0026.png,stata2015-04-12_1_0026.png,570.0,8.0
