,Shutter 0,Gain 0,Mean Illumination 0,Contrast 0,Shutter 1,Gain 1,Mean Illumination 1,Contrast 1,FileLocation,NumMatches
0,520.0,16.0,96.73162760416668,245.0,466.0,16.0,100.98465820312501,245.0,csail03-08-15_0/,199
0,520.0,16.0,71.98135091145834,241.0,120.0,16.0,25.766168619791667,246.0,csail03-08-15_0/,27
0,520.0,16.0,100.29656250000001,243.0,488.0,16.0,81.038671875,243.0,csail03-08-15_0/,269
0,509.0,16.0,136.83641927083335,241.0,77.0,16.0,32.22861002604167,211.0,csail03-08-15_0/,96
0,239.0,16.0,174.31931315104168,239.0,250.0,16.0,166.74681640625002,239.0,csail03-08-15_0/,363
0,509.0,16.0,138.22982747395835,232.0,509.0,16.0,138.01609049479168,223.0,csail03-08-15_0/,471
0,250.0,16.0,183.19187174479168,203.0,33.0,16.0,40.12574869791667,125.0,csail03-08-15_0/,172
0,185.0,16.0,171.970703125,228.0,196.0,16.0,186.0292838541667,225.0,csail03-08-15_0/,150
0,466.0,16.0,161.17516601562502,237.0,23.0,16.0,18.385625,203.0,csail03-08-15_0/,116
0,466.0,16.0,134.91526692708334,241.0,477.0,16.0,120.07513997395834,241.0,csail03-08-15_0/,110
0,66.0,16.0,159.89118489583333,225.0,66.0,16.0,121.864658203125,234.0,csail03-08-15_0/,291
0,304.0,16.0,155.90584635416667,233.0,282.0,16.0,150.07984700520834,230.0,csail03-08-15_0/,99
0,520.0,16.0,118.16736653645835,242.0,499.0,16.0,142.88001302083333,235.0,csail03-08-15_0/,199
0,466.0,16.0,153.4111328125,242.0,423.0,16.0,154.35846354166668,241.0,csail03-08-15_0/,552
0,520.0,16.0,108.88244791666668,242.0,477.0,16.0,110.36056640625,243.0,csail03-08-15_0/,236
0,390.0,16.0,148.67419270833335,242.0,380.0,16.0,136.89270833333333,244.0,csail03-08-15_0/,513
0,228.0,16.0,179.36716145833336,231.0,217.0,16.0,164.10314778645835,231.0,csail03-08-15_0/,422
0,444.0,16.0,161.01171549479167,238.0,434.0,16.0,167.5183854166667,238.0,csail03-08-15_0/,186
0,520.0,16.0,88.35365234375,239.0,520.0,16.0,98.01548177083333,238.0,csail03-08-15_0/,133
0,196.0,16.0,196.058974609375,235.0,185.0,16.0,199.43973958333333,231.0,csail03-08-15_0/,63
0,444.0,16.0,151.104306640625,233.0,444.0,16.0,156.48140299479167,234.0,csail03-08-15_0/,625
0,520.0,16.0,113.35696940104167,243.0,466.0,16.0,121.79308268229167,242.0,csail03-08-15_0/,106
0,520.0,16.0,98.79871419270835,236.0,509.0,16.0,91.00258463541667,236.0,csail03-08-15_0/,240
0,499.0,16.0,129.667333984375,237.0,23.0,16.0,19.449300130208336,247.0,csail03-08-15_0/,112
0,520.0,16.0,60.13431640625,235.0,477.0,16.0,52.030559895833335,229.0,2015-02-22TNQ_1/,84
1,520.0,16.0,60.13431640625,235.0,477.0,16.0,54.331380208333336,228.0,2015-02-22TNQ_1/,82
0,531.0,16.0,64.6997265625,241.0,250.0,16.0,51.77117838541667,232.0,2015-02-22TNQ_0/,108
1,531.0,16.0,64.6997265625,241.0,455.0,16.0,55.16708658854167,231.0,2015-02-22TNQ_0/,110
2,531.0,16.0,64.6997265625,241.0,488.0,16.0,52.300214843750005,230.0,2015-02-22TNQ_0/,107
3,531.0,16.0,64.6997265625,241.0,477.0,16.0,36.9987109375,186.0,2015-02-22TNQ_0/,95
4,531.0,16.0,64.6997265625,241.0,488.0,16.0,25.079973958333333,119.0,2015-02-22TNQ_0/,77
5,531.0,16.0,64.6997265625,241.0,499.0,16.0,54.626416015625004,236.0,2015-02-22TNQ_0/,111
6,531.0,16.0,64.6997265625,241.0,520.0,16.0,36.60753580729167,234.0,2015-02-22TNQ_0/,120
