Frame,Gain,Image File,ORB Features,Shutter,Timestamp
0,16.0,,3,29.0,2014-12-09 06:00:30.795032064
1,16.0,,8,57.0,2014-12-09 06:00:31.229075968
2,16.0,,7,85.0,2014-12-09 06:00:31.660728064
3,16.0,,23,113.0,2014-12-09 06:00:32.089329920
4,16.0,,44,140.0,2014-12-09 06:00:32.551209984
5,16.0,,70,168.0,2014-12-09 06:00:32.990679040
6,16.0,,95,196.0,2014-12-09 06:00:33.436246016
7,16.0,,120,224.0,2014-12-09 06:00:33.903939840
8,16.0,,142,252.0,2014-12-09 06:00:34.362724096
9,16.0,,167,280.0,2014-12-09 06:00:34.830536960
10,16.0,,206,308.0,2014-12-09 06:00:35.303525888
11,16.0,,234,336.0,2014-12-09 06:00:35.783629056
12,16.0,,267,364.0,2014-12-09 06:00:36.260078080
13,16.0,,299,392.0,2014-12-09 06:00:36.761262848
14,16.0,,318,419.0,2014-12-09 06:00:37.264566784
15,16.0,,336,447.0,2014-12-09 06:00:37.774944
16,16.0,,356,475.0,2014-12-09 06:00:38.289788928
17,16.0,,377,503.0,2014-12-09 06:00:38.807957760
18,16.0,,393,531.0,2014-12-09 06:00:39.327102976
19,19.0,,425,531.0,2014-12-09 06:00:39.855500032
20,19.0,,508,503.0,2014-12-09 06:00:40.392317952
21,19.0,,477,475.0,2014-12-09 06:00:40.942326016
22,19.0,,452,447.0,2014-12-09 06:00:41.486833152
23,19.0,,418,419.0,2014-12-09 06:00:42.021006080
24,19.0,,384,392.0,2014-12-09 06:00:42.551223040
25,19.0,,368,364.0,2014-12-09 06:00:43.065923072
26,19.0,,350,336.0,2014-12-09 06:00:43.575727872
27,19.0,,324,308.0,2014-12-09 06:00:44.082418944
28,19.0,,300,280.0,2014-12-09 06:00:44.592664832
29,19.0,,266,252.0,2014-12-09 06:00:45.079873024
30,19.0,,228,224.0,2014-12-09 06:00:45.562669056
31,19.0,,191,196.0,2014-12-09 06:00:46.037790976
32,19.0,,149,168.0,2014-12-09 06:00:46.502039040
33,19.0,,120,140.0,2014-12-09 06:00:46.963094016
34,19.0,,85,113.0,2014-12-09 06:00:47.407898880
35,19.0,,62,85.0,2014-12-09 06:00:47.857990912
36,19.0,,33,57.0,2014-12-09 06:00:48.294545920
37,19.0,,11,29.0,2014-12-09 06:00:48.728193024
38,19.0,,5,1.0,2014-12-09 06:00:49.150280960
39,21.0,,0,1.0,2014-12-09 06:00:49.577182976
40,21.0,,0,29.0,2014-12-09 06:00:49.998210048
41,21.0,,5,57.0,2014-12-09 06:00:50.419243008
42,21.0,,14,85.0,2014-12-09 06:00:50.843815936
43,21.0,,43,113.0,2014-12-09 06:00:51.266871040
44,21.0,,76,140.0,2014-12-09 06:00:51.703241216
45,21.0,,112,168.0,2014-12-09 06:00:52.142408960
46,21.0,,138,196.0,2014-12-09 06:00:52.599577856
47,21.0,,193,224.0,2014-12-09 06:00:53.063656960
48,21.0,,253,252.0,2014-12-09 06:00:53.539194112
49,21.0,,277,280.0,2014-12-09 06:00:54.020540928
50,21.0,,311,308.0,2014-12-09 06:00:54.511401984
51,21.0,,342,336.0,2014-12-09 06:00:55.035158016
52,21.0,,370,364.0,2014-12-09 06:00:55.546812160
53,21.0,,396,392.0,2014-12-09 06:00:56.084613120
54,21.0,,421,419.0,2014-12-09 06:00:56.614886912
55,21.0,,446,447.0,2014-12-09 06:00:57.144324096
56,21.0,,483,475.0,2014-12-09 06:00:57.679283968
57,21.0,,493,503.0,2014-12-09 06:00:58.224275968
58,21.0,,523,531.0,2014-12-09 06:00:58.776286976
59,24.0,,542,531.0,2014-12-09 06:00:59.323847168
60,24.0,,587,503.0,2014-12-09 06:00:59.883415040
61,24.0,,552,475.0,2014-12-09 06:01:00.447296
62,24.0,,552,447.0,2014-12-09 06:01:01.000132096
63,24.0,,527,419.0,2014-12-09 06:01:01.557771008
64,24.0,,500,392.0,2014-12-09 06:01:02.104649984
65,24.0,,478,364.0,2014-12-09 06:01:02.646749952
66,24.0,,447,336.0,2014-12-09 06:01:03.179848960
67,24.0,,417,308.0,2014-12-09 06:01:03.707042048
68,24.0,,374,280.0,2014-12-09 06:01:04.217302016
69,24.0,,350,252.0,2014-12-09 06:01:04.746372864
70,24.0,,320,224.0,2014-12-09 06:01:05.248212992
71,24.0,,279,196.0,2014-12-09 06:01:05.748872960
72,24.0,,235,168.0,2014-12-09 06:01:06.232012032
73,24.0,,173,140.0,2014-12-09 06:01:06.700321024
74,24.0,,130,113.0,2014-12-09 06:01:07.152139008
75,24.0,,93,85.0,2014-12-09 06:01:07.604609024
76,24.0,,61,57.0,2014-12-09 06:01:08.048548864
77,24.0,,21,29.0,2014-12-09 06:01:08.478172928
78,24.0,,7,1.0,2014-12-09 06:01:08.899990016
79,26.0,,0,1.0,2014-12-09 06:01:09.316751104
80,26.0,,0,29.0,2014-12-09 06:01:09.741127936
81,26.0,,7,57.0,2014-12-09 06:01:10.170664192
82,26.0,,27,85.0,2014-12-09 06:01:10.593921024
83,26.0,,71,113.0,2014-12-09 06:01:11.031516160
84,26.0,,104,140.0,2014-12-09 06:01:11.479548928
85,26.0,,149,168.0,2014-12-09 06:01:11.937839104
86,26.0,,216,196.0,2014-12-09 06:01:12.407872
87,26.0,,251,224.0,2014-12-09 06:01:12.894441984
88,26.0,,303,252.0,2014-12-09 06:01:13.374827008
89,26.0,,344,280.0,2014-12-09 06:01:13.875575040
90,26.0,,373,308.0,2014-12-09 06:01:14.388224
91,26.0,,400,336.0,2014-12-09 06:01:14.908015872
92,26.0,,441,364.0,2014-12-09 06:01:15.442589952
93,26.0,,491,392.0,2014-12-09 06:01:15.974076928
94,26.0,,501,419.0,2014-12-09 06:01:16.512166144
95,26.0,,548,447.0,2014-12-09 06:01:17.060332032
96,26.0,,579,475.0,2014-12-09 06:01:17.619846144
97,26.0,,562,503.0,2014-12-09 06:01:18.183298048
98,26.0,,632,531.0,2014-12-09 06:01:18.754044928
99,29.0,,641,531.0,2014-12-09 06:01:19.322189056
100,29.0,,654,503.0,2014-12-09 06:01:19.901766912
101,29.0,,642,475.0,2014-12-09 06:01:20.475155200
102,29.0,,645,447.0,2014-12-09 06:01:21.061849088
103,29.0,,621,419.0,2014-12-09 06:01:21.635591936
104,29.0,,613,392.0,2014-12-09 06:01:22.197520896
105,29.0,,575,364.0,2014-12-09 06:01:22.768819968
106,29.0,,558,336.0,2014-12-09 06:01:23.322626048
107,29.0,,511,308.0,2014-12-09 06:01:23.880721920
108,29.0,,490,280.0,2014-12-09 06:01:24.425479936
109,29.0,,438,252.0,2014-12-09 06:01:24.956593152
110,29.0,,388,224.0,2014-12-09 06:01:25.474428928
111,29.0,,368,196.0,2014-12-09 06:01:25.985296128
112,29.0,,326,168.0,2014-12-09 06:01:26.499344128
113,29.0,,267,140.0,2014-12-09 06:01:26.985692928
114,29.0,,215,113.0,2014-12-09 06:01:27.476428032
115,29.0,,141,85.0,2014-12-09 06:01:27.944051968
116,29.0,,95,57.0,2014-12-09 06:01:28.388498176
117,29.0,,40,29.0,2014-12-09 06:01:28.834400768
118,29.0,,8,1.0,2014-12-09 06:01:29.260112128
119,31.0,,0,1.0,2014-12-09 06:01:29.677683200
120,31.0,,0,29.0,2014-12-09 06:01:30.125329920
121,31.0,,9,57.0,2014-12-09 06:01:30.605020160
122,31.0,,50,85.0,2014-12-09 06:01:31.068933120
123,31.0,,98,113.0,2014-12-09 06:01:31.502883840
124,31.0,,168,140.0,2014-12-09 06:01:31.952935936
125,31.0,,225,168.0,2014-12-09 06:01:32.416954112
126,31.0,,287,196.0,2014-12-09 06:01:32.901061120
127,31.0,,348,224.0,2014-12-09 06:01:33.397320960
128,31.0,,376,252.0,2014-12-09 06:01:33.904689920
129,31.0,,421,280.0,2014-12-09 06:01:34.419246080
130,31.0,,472,308.0,2014-12-09 06:01:34.946855168
131,31.0,,517,336.0,2014-12-09 06:01:35.486504192
132,31.0,,556,364.0,2014-12-09 06:01:36.043464960
133,31.0,,579,392.0,2014-12-09 06:01:36.623745024
134,31.0,,604,419.0,2014-12-09 06:01:37.188049920
135,31.0,,630,447.0,2014-12-09 06:01:37.776379136
136,31.0,,652,475.0,2014-12-09 06:01:38.349988096
137,31.0,,658,503.0,2014-12-09 06:01:38.944227072
138,31.0,,653,531.0,2014-12-09 06:01:39.530590976
139,34.0,,670,531.0,2014-12-09 06:01:40.111331840
140,34.0,,702,503.0,2014-12-09 06:01:40.702578944
141,34.0,,673,475.0,2014-12-09 06:01:41.292407040
142,34.0,,668,447.0,2014-12-09 06:01:41.889272832
143,34.0,,660,419.0,2014-12-09 06:01:42.466835968
144,34.0,,653,392.0,2014-12-09 06:01:43.041702144
145,34.0,,647,364.0,2014-12-09 06:01:43.620587008
146,34.0,,608,336.0,2014-12-09 06:01:44.193826816
147,34.0,,576,308.0,2014-12-09 06:01:44.768736
148,34.0,,540,280.0,2014-12-09 06:01:45.398873088
149,34.0,,501,252.0,2014-12-09 06:01:45.957988864
150,34.0,,457,224.0,2014-12-09 06:01:46.505729792
151,34.0,,410,196.0,2014-12-09 06:01:47.049026048
152,34.0,,367,168.0,2014-12-09 06:01:47.573893120
153,34.0,,315,140.0,2014-12-09 06:01:48.091618048
154,34.0,,258,113.0,2014-12-09 06:01:48.595539200
155,34.0,,192,85.0,2014-12-09 06:01:49.070738176
156,34.0,,120,57.0,2014-12-09 06:01:49.535265024
157,34.0,,61,29.0,2014-12-09 06:01:49.982657792
158,34.0,,11,1.0,2014-12-09 06:01:50.428567808
159,36.0,,0,1.0,2014-12-09 06:01:50.856240128
160,36.0,,0,29.0,2014-12-09 06:01:51.279383808
161,36.0,,14,57.0,2014-12-09 06:01:51.701853952
162,36.0,,68,85.0,2014-12-09 06:01:52.132105984
163,36.0,,135,113.0,2014-12-09 06:01:52.578736128
